exiobase name,exiobase unit,ecoinvent name,ecoinvent category,ecoinvent subcategory,ecoinvent unit,scale factor,new flow,comment
NOx - non combustion - Production of gascoke - air,kg,Nitrogen oxides,air,non-urban air or from high stacks,kg,1,0,
"NOx - non combustion - Refined copper; unwrought, not alloyed - air",kg,Nitrogen oxides,air,non-urban air or from high stacks,kg,1,0,
"NOx - non combustion - Refined lead, unwrought - air",kg,Nitrogen oxides,air,non-urban air or from high stacks,kg,1,0,
"NOx - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air",kg,Nitrogen oxides,air,non-urban air or from high stacks,kg,1,0,
NOx - non combustion - Steel production: basic oxygen furnace - air,kg,Nitrogen oxides,air,non-urban air or from high stacks,kg,1,0,
NOx - non combustion - Steel production: electric arc furnace - air,kg,Nitrogen oxides,air,non-urban air or from high stacks,kg,1,0,
NOx - non combustion - Sulphuric acid production - air,kg,Nitrogen oxides,air,non-urban air or from high stacks,kg,1,0,
NOx - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,kg,Nitrogen oxides,air,non-urban air or from high stacks,kg,1,0,
"NOx - non combustion - Zinc, unwrought, not alloyed - air",kg,Nitrogen oxides,air,non-urban air or from high stacks,kg,1,0,
NOX - waste - air,kg,Nitrogen oxides,air,,kg,1,0,
P - agriculture - soil,kg,Phosphorus,soil,,kg,1,0,
P - agriculture - water,kg,Phosphorus,water,,kg,1,0,
P - waste - water,kg,Phosphorus,water,,kg,1,0,
PAH - non combustion - Agglomeration plant - pellets - air,kg,"PAH, polycyclic aromatic hydrocarbons",air,non-urban air or from high stacks,kg,1,0,
PAH - non combustion - Agglomeration plant - sinter - air,kg,"PAH, polycyclic aromatic hydrocarbons",air,non-urban air or from high stacks,kg,1,0,
"PAH - non combustion - Pig iron production, blast furnace - air",kg,"PAH, polycyclic aromatic hydrocarbons",air,non-urban air or from high stacks,kg,1,0,
PAH - non combustion - Production of coke oven coke - air,kg,"PAH, polycyclic aromatic hydrocarbons",air,non-urban air or from high stacks,kg,1,0,
PAH - non combustion - Production of gascoke - air,kg,"PAH, polycyclic aromatic hydrocarbons",air,non-urban air or from high stacks,kg,1,0,
PAH - non combustion - Steel production: basic oxygen furnace - air,kg,"PAH, polycyclic aromatic hydrocarbons",air,non-urban air or from high stacks,kg,1,0,
PAH - non combustion - Steel production: electric arc furnace - air,kg,"PAH, polycyclic aromatic hydrocarbons",air,non-urban air or from high stacks,kg,1,0,
Pb - combustion - air,kg,Lead II,air,,kg,1,0,
Pb - non combustion - Agglomeration plant - pellets - air,kg,Lead II,air,non-urban air or from high stacks,kg,1,0,
Pb - non combustion - Agglomeration plant - sinter - air,kg,Lead II,air,non-urban air or from high stacks,kg,1,0,
Pb - non combustion - Glass production - air,kg,Lead II,air,non-urban air or from high stacks,kg,1,0,
"Pb - non combustion - Nickel, unwrought - air",kg,Lead II,air,non-urban air or from high stacks,kg,1,0,
"Pb - non combustion - Pig iron production, blast furnace - air",kg,Lead II,air,non-urban air or from high stacks,kg,1,0,
Pb - non combustion - Production of coke oven coke - air,kg,Lead II,air,non-urban air or from high stacks,kg,1,0,
Pb - non combustion - Production of gascoke - air,kg,Lead II,air,non-urban air or from high stacks,kg,1,0,
"Pb - non combustion - Refined copper; unwrought, not alloyed - air",kg,Lead II,air,non-urban air or from high stacks,kg,1,0,
"Pb - non combustion - Refined lead, unwrought - air",kg,Lead II,air,non-urban air or from high stacks,kg,1,0,
Pb - non combustion - Steel production: basic oxygen furnace - air,kg,Lead II,air,non-urban air or from high stacks,kg,1,0,
Pb - non combustion - Steel production: electric arc furnace - air,kg,Lead II,air,non-urban air or from high stacks,kg,1,0,
Pb - non combustion - Steel production: open hearth furnace - air,kg,Lead II,air,non-urban air or from high stacks,kg,1,0,
Pb - non combustion - Unrefined copper; copper anodes for electrolytic refining - air,kg,Lead II,air,non-urban air or from high stacks,kg,1,0,
"Pb - non combustion - Zinc, unwrought, not alloyed - air",kg,Lead II,air,non-urban air or from high stacks,kg,1,0,
PCB - non combustion - Agglomeration plant - pellets - air,kg,Polychlorinated biphenyls,air,non-urban air or from high stacks,kg,1,0,
PCB - non combustion - Agglomeration plant - sinter - air,kg,Polychlorinated biphenyls,air,non-urban air or from high stacks,kg,1,0,
"PCB - non combustion - Pig iron production, blast furnace - air",kg,Polychlorinated biphenyls,air,non-urban air or from high stacks,kg,1,0,
